location,description,units,n,mean,std,median,min,max
Central WI,AREA,acres,44,84,77,44,25,272
Central WI,MEAN DEPTH,ft,25,13.1,10,10.2,2,36.9
Central WI,MAX DEPTH,ft,44,30,22,26,6,95
Central WI,COLOR,SU,36,42,36,28,1,130
Central WI,SECCHI DEPTH - FEET,m,38,2.4,1.2,2.1,0.7,7.3
Central WI,"CHLOROPHYLL A, FLUORESCENCE (WELSCHMAYER 1994)",ug/L,43,7.5,4.8,6.2,1.9,25
Central WI,CHLORIDE,mg/L,44,4,2,4,1,10
Central WI,CALCIUM TOTAL RECOVERABLE,mg/L,44,24,8,22,3,42
Central WI,MAGNESIUM TOTAL RECOVERABLE,mg/L,44,20,7,21,1,31
Central WI,PH LAB,SU,44,7.9,0.4,7.9,6.7,8.9
Central WI,ALKALINITY TOTAL CACO3,mg/L,44,122,40,124,12,190
Central WI,"TURBIDITY, LAB NEPHELOMETRIC NTU",JTUs,44,2.6,1.6,2,0.7,8.4
Central WI,NITROGEN TOTAL,mg/L,43,0.72,0.31,0.69,0.3,1.56
Central WI,PHOSPHORUS TOTAL,mg/L,44,0.02,0.021,0.012,0.005,0.11
Seepage Lakes,AREA,acres,332,93,142,51,,
Seepage Lakes,MEAN DEPTH,ft,95,13.4,8,11.5,,
Seepage Lakes,MAX DEPTH,ft,332,26,18,21,,
Seepage Lakes,COLOR,SU,332,27,29,15,,
Seepage Lakes,SECCHI DEPTH - FEET,m,332,2.7,1.5,2.4,,
Seepage Lakes,"CHLOROPHYLL A, FLUORESCENCE (WELSCHMAYER 1994)",ug/L,332,11.3,34.3,6.3,,
Seepage Lakes,CHLORIDE,mg/L,332,3,5,1,,
Seepage Lakes,CALCIUM TOTAL RECOVERABLE,mg/L,332,8,9,4,,
Seepage Lakes,MAGNESIUM TOTAL RECOVERABLE,mg/L,332,5,9,1,,
Seepage Lakes,PH LAB,SU,332,6.8,0.9,6.8,,
Seepage Lakes,ALKALINITY TOTAL CACO3,mg/L,332,34,48,11,,
Seepage Lakes,"TURBIDITY, LAB NEPHELOMETRIC NTU",JTUs,332,2.3,1.8,1.9,,
Seepage Lakes,NITROGEN TOTAL,mg/L,332,0.76,0.57,0.64,,
Seepage Lakes,PHOSPHORUS TOTAL,mg/L,332,0.021,0.028,0.015,,
All WI,AREA,acres,660,247,1104,73,25,22218
All WI,MEAN DEPTH,ft,314,12.2,7.9,10,2,40
All WI,MAX DEPTH,ft,659,25,18,20,5,105
All WI,COLOR,SU,560,39,40,25,1,320
All WI,SECCHI DEPTH - FEET,m,595,2.3,1.4,2,0.1,9.5
All WI,"CHLOROPHYLL A, FLUORESCENCE (WELSCHMAYER 1994)",ug/L,643,14.8,39.1,7.5,0.5,706.1
All WI,CHLORIDE,mg/L,606,4,7,2,1,57
All WI,CALCIUM TOTAL RECOVERABLE,mg/L,604,12,13,8,1,71
All WI,MAGNESIUM TOTAL RECOVERABLE,mg/L,604,8,11,2,1,49
All WI,PH LAB,SU,660,7.15,0.85,7.2,4.3,9.6
All WI,ALKALINITY TOTAL CACO3,mg/L,660,52,59,30,1,290
All WI,"TURBIDITY, LAB NEPHELOMETRIC NTU",JTUs,645,3.1,4.6,2.1,0.5,72
All WI,NITROGEN TOTAL,mg/L,659,0.86,0.57,0.73,0.14,6.5
All WI,PHOSPHORUS TOTAL,mg/L,659,0.031,0.051,0.019,0.003,0.72
