Site_ID,K_Ft_day,Lake_dist_ft
PFL-02,1.90E+02,174
PFL-03,1.30E+02,243
PFL-04,6.40E+02,416
PFL-05,8.10E+01,189
PFL-07,8.90E+01,238
PFL-09,1.00E+02,149
PFL-11,1.40E+02,173
PFL-13,1.50E+02,80
PFL-14,7.90E+01,198
PFL-15,7.30E+01,
LL-01,4.80E+01,205
LL-01B,3.50E+01,205
LL-02,6.90E+01,78
LL-02B,4.70E+01,78
LL-03,4.10E+01,198
LL-04,2.70E+01,184
LL-05,7.30E+00,192
LL-05C,1.10E+01,192
LL-06,5.30E+01,143
LL-07,5.00E+01,184
LL-08,3.90E+01,181
LL-09,6.90E+01,194
LL-09B,2.50E+01,194
LL-10,2.40E+01,240
PSNT-01,1.30E+02,206
PSNT-03,9.90E+01,97
PSNT-05,1.00E+02,247
PSNT-06,2.50E+01,186
PSNT-07,4.30E+01,252
PSNT-08,2.40E+01,467
PSNT-09,8.40E+01,284
PSNT-10,5.30E+01,336
PSNT-11,6.00E+01,58
PSNT-14,1.10E+02,144
PSNT-15,1.10E+02,179
PSNT-16,3.50E+01,150
